stop_name,stop_id,route_id
1 Av,L06N,L
1 Av,L06S,L
103 St,A18N,B
103 St,A18S,B
103 St,624N,6X
103 St,A18S,C
103 St,624N,6
103 St,119N,1
103 St,A18N,C
103 St,624S,6
103 St,119S,1
103 St-Corona Plaza,706N,7
103 St-Corona Plaza,706S,7
104 St,J14N,J
104 St,A63S,A
104 St,J14S,J
104 St,A63N,A
110 St,623S,6
110 St,623N,6X
110 St,623N,6
111 St,J13N,J
111 St,705S,7
111 St,705N,7
111 St,A64N,A
111 St,A64S,A
111 St,J13S,J
116 St,226N,2
116 St,226S,2
116 St,622N,6
116 St,A16S,B
116 St,622S,6
116 St,A16S,C
116 St,A16N,C
116 St,622N,6X
116 St,226N,3
116 St,A16N,B
116 St,226S,3
116 St-Columbia University,117S,1
116 St-Columbia University,117N,1
121 St,J12S,J
121 St,J12N,J
125 St,621S,6
125 St,116N,1
125 St,621N,4
125 St,A15S,A
125 St,621S,4
125 St,A15S,B
125 St,A15N,A
125 St,621S,5
125 St,225N,2
125 St,A15N,C
125 St,A15N,B
125 St,A15N,D
125 St,225S,2
125 St,A15S,C
125 St,621N,6X
125 St,225S,3
125 St,A15S,D
125 St,621N,5
125 St,116S,1
125 St,621N,6
125 St,225N,3
135 St,A14S,C
135 St,224N,2
135 St,224S,2
135 St,224S,3
135 St,A14N,C
135 St,A14S,B
135 St,A14N,B
135 St,224N,3
137 St-City College,115N,1
137 St-City College,115S,1
138 St-Grand Concourse,416N,4
138 St-Grand Concourse,416S,4
138 St-Grand Concourse,416N,5
138 St-Grand Concourse,416S,5
14 St,132S,1
14 St,A31S,C
14 St,D19S,M
14 St,D19S,F
14 St,A31N,A
14 St,132N,2
14 St,A31N,C
14 St,A31S,E
14 St,D19N,F
14 St,132N,1
14 St,132S,3
14 St,A31N,E
14 St,D19N,M
14 St,A31S,A
14 St,132N,3
14 St,132S,2
14 St-Union Sq,635S,6
14 St-Union Sq,L03S,L
14 St-Union Sq,635N,6
14 St-Union Sq,L03N,L
14 St-Union Sq,R20N,Q
14 St-Union Sq,R20S,R
14 St-Union Sq,R20N,N
14 St-Union Sq,R20S,N
14 St-Union Sq,R20S,Q
14 St-Union Sq,635N,5
14 St-Union Sq,635S,5
14 St-Union Sq,635S,4
14 St-Union Sq,R20S,W
14 St-Union Sq,635N,4
14 St-Union Sq,R20N,R
14 St-Union Sq,R20N,W
14 St-Union Sq,635N,6X
145 St,D13N,D
145 St,114S,1
145 St,D13S,D
145 St,D13N,B
145 St,A12N,C
145 St,A12S,A
145 St,A12S,C
145 St,114N,1
145 St,302N,3
145 St,D13S,B
145 St,A12N,A
145 St,302S,3
149 St-Grand Concourse,222N,2
149 St-Grand Concourse,415S,4
149 St-Grand Concourse,222S,2
149 St-Grand Concourse,415N,4
149 St-Grand Concourse,222N,5
149 St-Grand Concourse,222S,5
15 St-Prospect Park,F25S,G
15 St-Prospect Park,F25S,F
15 St-Prospect Park,F25N,G
15 St-Prospect Park,F25N,F
155 St,D12S,B
155 St,D12S,D
155 St,D12N,D
155 St,A11N,C
155 St,D12N,B
155 St,A11S,C
157 St,113S,1
157 St,113N,1
161 St-Yankee Stadium,D11S,D
161 St-Yankee Stadium,D11S,B
161 St-Yankee Stadium,414N,4
161 St-Yankee Stadium,414S,4
161 St-Yankee Stadium,D11N,D
161 St-Yankee Stadium,D11N,B
163 St-Amsterdam Av,A10S,C
163 St-Amsterdam Av,A10N,C
167 St,413S,4
167 St,413N,4
167 St,D10N,D
167 St,D10S,D
167 St,D10N,B
167 St,D10S,B
168 St,A09N,A
168 St,A09N,C
168 St,A09S,A
168 St,A09S,C
168 St-Washington Hts,112N,1
168 St-Washington Hts,112S,1
169 St,F02N,F
169 St,F02S,F
170 St,D09N,D
170 St,412N,4
170 St,D09S,B
170 St,412S,4
170 St,D09N,B
170 St,D09S,D
174 St,215N,2
174 St,215N,5
174 St,215S,2
174 St,215S,5
174-175 Sts,D08S,D
174-175 Sts,D08N,B
174-175 Sts,D08N,D
174-175 Sts,D08S,B
175 St,A07S,A
175 St,A07N,A
176 St,410N,4
176 St,410S,4
18 Av,N05N,N
18 Av,N05S,N
18 Av,F30N,F
18 Av,B19S,D
18 Av,F30S,F
18 Av,B19N,D
18 St,131N,1
18 St,131S,1
181 St,111N,1
181 St,A06S,A
181 St,111S,1
181 St,A06N,A
182-183 Sts,D06S,D
182-183 Sts,D06S,B
182-183 Sts,D06N,B
182-183 Sts,D06N,D
183 St,408N,4
183 St,408S,4
190 St,A05N,A
190 St,A05S,A
191 St,110S,1
191 St,110N,1
2 Av,F14S,F
2 Av,F14N,F
20 Av,N06N,N
20 Av,N06S,N
20 Av,B20N,D
20 Av,B20S,D
207 St,108N,1
207 St,108S,1
21 St,G24N,G
21 St,G24S,G
21 St-Queensbridge,B04S,F
21 St-Queensbridge,B04N,F
215 St,107N,1
215 St,107S,1
219 St,207N,2
219 St,207S,2
225 St,206N,2
225 St,206S,2
23 St,R19N,W
23 St,R19S,W
23 St,634S,6
23 St,A30N,C
23 St,D18N,M
23 St,D18N,F
23 St,R19S,R
23 St,A30N,E
23 St,130N,1
23 St,A30S,C
23 St,A30S,E
23 St,634N,6
23 St,634N,6X
23 St,D18S,F
23 St,R19N,R
23 St,130S,1
23 St,D18S,M
231 St,104N,1
231 St,104S,1
233 St,205S,2
233 St,205N,2
238 St,103N,1
238 St,103S,1
25 Av,B22N,D
25 Av,B22S,D
25 St,R35S,R
25 St,R35N,R
28 St,R18S,W
28 St,633N,6X
28 St,R18N,W
28 St,R18N,R
28 St,633N,6
28 St,129S,1
28 St,R18S,R
28 St,633S,6
28 St,129N,1
3 Av,L05S,L
3 Av,L05N,L
3 Av-138 St,619S,6
3 Av-138 St,619N,6
3 Av-138 St,619N,6X
3 Av-149 St,221N,2
3 Av-149 St,221S,5
3 Av-149 St,221N,5
3 Av-149 St,221S,2
30 Av,R04N,N
30 Av,R04S,W
30 Av,R04N,W
30 Av,R04S,N
33 St,632N,6X
33 St,632N,6
33 St,632S,6
33 St-Rawson St,716S,7X
33 St-Rawson St,716N,7
33 St-Rawson St,716S,7
33 St-Rawson St,716N,7X
34 St-Herald Sq,D17N,D
34 St-Herald Sq,R17N,R
34 St-Herald Sq,D17S,D
34 St-Herald Sq,R17N,W
34 St-Herald Sq,D17N,B
34 St-Herald Sq,R17S,W
34 St-Herald Sq,R17S,Q
34 St-Herald Sq,D17N,M
34 St-Herald Sq,D17S,M
34 St-Herald Sq,R17S,N
34 St-Herald Sq,R17N,N
34 St-Herald Sq,D17N,F
34 St-Herald Sq,D17S,B
34 St-Herald Sq,D17S,F
34 St-Herald Sq,R17N,Q
34 St-Herald Sq,R17S,R
34 St-Hudson Yards,726N,7
34 St-Hudson Yards,726S,7
34 St-Hudson Yards,726S,7X
34 St-Hudson Yards,726N,7X
34 St-Penn Station,128N,2
34 St-Penn Station,A28S,E
34 St-Penn Station,A28S,C
34 St-Penn Station,A28N,C
34 St-Penn Station,128N,3
34 St-Penn Station,A28S,A
34 St-Penn Station,128S,2
34 St-Penn Station,128S,1
34 St-Penn Station,128S,3
34 St-Penn Station,A28N,A
34 St-Penn Station,128N,1
34 St-Penn Station,A28N,E
36 Av,R06N,W
36 Av,R06N,N
36 Av,R06S,W
36 Av,R06S,N
36 St,G20N,M
36 St,G20S,R
36 St,R36N,N
36 St,G20S,M
36 St,R36S,N
36 St,R36S,R
36 St,R36S,D
36 St,R36N,R
36 St,R36N,D
36 St,G20N,R
39 Av-Dutch Kills,R08N,W
39 Av-Dutch Kills,R08S,W
39 Av-Dutch Kills,R08S,N
39 Av-Dutch Kills,R08N,N
4 Av-9 St,R33N,R
4 Av-9 St,R33S,R
4 Av-9 St,F23S,F
4 Av-9 St,F23N,G
4 Av-9 St,F23S,G
4 Av-9 St,F23N,F
40 St-Lowery St,715N,7X
40 St-Lowery St,715S,7
40 St-Lowery St,715N,7
40 St-Lowery St,715S,7X
42 St-Bryant Pk,D16N,F
42 St-Bryant Pk,D16S,M
42 St-Bryant Pk,D16N,D
42 St-Bryant Pk,D16N,M
42 St-Bryant Pk,D16S,D
42 St-Bryant Pk,D16S,B
42 St-Bryant Pk,D16S,F
42 St-Bryant Pk,D16N,B
42 St-Port Authority Bus Terminal,A27S,E
42 St-Port Authority Bus Terminal,A27N,C
42 St-Port Authority Bus Terminal,A27N,E
42 St-Port Authority Bus Terminal,A27S,A
42 St-Port Authority Bus Terminal,A27S,C
42 St-Port Authority Bus Terminal,A27N,A
45 St,R39N,R
45 St,R39S,R
46 St,G18N,M
46 St,G18N,R
46 St,G18S,M
46 St,G18S,R
46 St-Bliss St,714N,7X
46 St-Bliss St,714N,7
46 St-Bliss St,714S,7
46 St-Bliss St,714S,7X
47-50 Sts-Rockefeller Ctr,D15N,B
47-50 Sts-Rockefeller Ctr,D15S,M
47-50 Sts-Rockefeller Ctr,D15S,B
47-50 Sts-Rockefeller Ctr,D15N,D
47-50 Sts-Rockefeller Ctr,D15S,F
47-50 Sts-Rockefeller Ctr,D15N,F
47-50 Sts-Rockefeller Ctr,D15N,M
47-50 Sts-Rockefeller Ctr,D15S,D
49 St,R15N,N
49 St,R15S,R
49 St,R15S,W
49 St,R15S,N
49 St,R15N,R
49 St,R15N,W
5 Av,724S,7
5 Av,724N,7
5 Av,724N,7X
5 Av,724S,7X
5 Av/53 St,F12S,M
5 Av/53 St,F12N,E
5 Av/53 St,F12N,M
5 Av/53 St,F12S,E
5 Av/59 St,R13N,N
5 Av/59 St,R13S,N
5 Av/59 St,R13N,W
5 Av/59 St,R13S,W
5 Av/59 St,R13S,R
5 Av/59 St,R13N,R
50 St,A25S,C
50 St,B14N,D
50 St,126N,1
50 St,A25S,E
50 St,A25N,E
50 St,B14S,D
50 St,A25N,C
50 St,126S,1
51 St,630N,6X
51 St,630N,6
51 St,630S,6
52 St,713N,7
52 St,713N,7X
53 St,R40S,R
53 St,R40N,R
55 St,B15S,D
55 St,B15N,D
57 St,B10N,F
57 St,B10S,F
57 St-7 Av,R14N,Q
57 St-7 Av,R14S,N
57 St-7 Av,R14S,W
57 St-7 Av,R14S,R
57 St-7 Av,R14S,Q
57 St-7 Av,R14N,R
57 St-7 Av,R14N,N
57 St-7 Av,R14N,W
59 St,629S,5
59 St,R41N,N
59 St,R41N,R
59 St,R41S,N
59 St,629N,4
59 St,629N,6X
59 St,629S,6
59 St,629N,5
59 St,629S,4
59 St,R41S,R
59 St,629N,6
59 St-Columbus Circle,A24N,C
59 St-Columbus Circle,A24N,D
59 St-Columbus Circle,125N,1
59 St-Columbus Circle,A24S,D
59 St-Columbus Circle,A24N,A
59 St-Columbus Circle,125S,1
59 St-Columbus Circle,A24S,C
59 St-Columbus Circle,A24S,B
59 St-Columbus Circle,A24N,B
59 St-Columbus Circle,A24S,A
6 Av,L02S,L
6 Av,L02N,L
61 St-Woodside,712S,7
61 St-Woodside,712N,7X
61 St-Woodside,712S,7X
61 St-Woodside,712N,7
62 St,B16S,D
62 St,B16N,D
63 Dr-Rego Park,G10N,M
63 Dr-Rego Park,G10S,M
63 Dr-Rego Park,G10N,R
63 Dr-Rego Park,G10S,R
65 St,G15N,M
65 St,G15S,M
65 St,G15S,R
65 St,G15N,R
66 St-Lincoln Center,124S,1
66 St-Lincoln Center,124N,1
67 Av,G09S,R
67 Av,G09N,M
67 Av,G09S,M
67 Av,G09N,R
68 St-Hunter College,628N,6
68 St-Hunter College,628S,6
68 St-Hunter College,628N,6X
69 St,711N,7X
69 St,711N,7
7 Av,D25S,B
7 Av,D25S,Q
7 Av,D14N,D
7 Av,D14N,E
7 Av,F24S,F
7 Av,D25N,B
7 Av,D14S,D
7 Av,F24N,G
7 Av,F24N,F
7 Av,D14N,B
7 Av,F24S,G
7 Av,D14S,B
7 Av,D25N,Q
7 Av,D14S,E
71 St,B17S,D
71 St,B17N,D
72 St,A22N,C
72 St,123N,3
72 St,Q03N,N
72 St,Q03S,Q
72 St,A22N,B
72 St,123N,2
72 St,123S,3
72 St,123N,1
72 St,A22S,C
72 St,Q03S,N
72 St,123S,1
72 St,Q03N,Q
72 St,A22S,B
72 St,123S,2
74 St-Broadway,710N,7X
74 St-Broadway,710S,7
74 St-Broadway,710N,7
75 Av,F07S,F
75 Av,F07N,F
75 St-Elderts Ln,J17S,J
75 St-Elderts Ln,J17N,J
77 St,R43S,R
77 St,627N,6X
77 St,627N,6
77 St,627S,6
77 St,R43N,R
79 St,122N,1
79 St,122S,1
79 St,B18S,D
79 St,B18N,D
8 Av,L01N,L
8 Av,N02S,N
8 Av,N02N,N
8 Av,L01S,L
8 St-NYU,R21S,R
8 St-NYU,R21S,W
8 St-NYU,R21N,W
8 St-NYU,R21N,R
80 St,A59N,A
80 St,A59S,A
81 St-Museum of Natural History,A21S,B
81 St-Museum of Natural History,A21N,B
81 St-Museum of Natural History,A21S,C
81 St-Museum of Natural History,A21N,C
82 St-Jackson Hts,709S,7
82 St-Jackson Hts,709N,7
85 St-Forest Pkwy,J16N,J
85 St-Forest Pkwy,J16S,J
86 St,626N,6
86 St,121N,1
86 St,Q04S,N
86 St,626N,5
86 St,A20S,B
86 St,Q04N,N
86 St,R44N,R
86 St,A20N,C
86 St,626S,5
86 St,626S,6
86 St,121S,1
86 St,A20N,B
86 St,N10S,N
86 St,N10N,N
86 St,Q04S,Q
86 St,626S,4
86 St,Q04N,Q
86 St,626N,4
86 St,R44S,R
86 St,A20S,C
86 St,626N,6X
88 St,A60S,A
88 St,A60N,A
9 Av,B12N,D
9 Av,B12S,D
90 St-Elmhurst Av,708S,7
90 St-Elmhurst Av,708N,7
96 St,120N,3
96 St,A19S,B
96 St,Q05N,N
96 St,A19N,B
96 St,Q05N,Q
96 St,625N,6
96 St,625N,6X
96 St,120N,2
96 St,625S,6
96 St,120N,1
96 St,120S,1
96 St,A19S,C
96 St,120S,3
96 St,Q05S,Q
96 St,A19N,C
96 St,Q05S,N
96 St,120S,2
Alabama Av,J24S,J
Alabama Av,J24N,J
Allerton Av,210S,2
Allerton Av,210N,2
Annadale,S17S,SI
Annadale,S17S,SS
Annadale,S17N,SI
Aqueduct Racetrack,H01N,A
Aqueduct-N Conduit Av,H02N,A
Aqueduct-N Conduit Av,H02S,A
Arthur Kill,S11S,SI
Arthur Kill,S11N,SI
Arthur Kill,S11S,SS
Astor Pl,636N,6
Astor Pl,636N,6X
Astor Pl,636S,6
Astoria Blvd,R03N,N
Astoria Blvd,R03S,N
Astoria Blvd,R03S,W
Astoria Blvd,R03N,W
